# VFS Statistics
# ================
# ---------------------------
# Total energy at VFS level (J) : 
# ---------------------------
#  - CPU : 0.380648
#  - Mem : 0.143688
# ---------------------------
# Mean energy per syscall (J) : 
# -------------------------
#  - CPU : 0.000122081
#  - Mem : 4.60835e-05
# ---------------------------
# Mean exec. time per syscall (s) : 
# -------------------------
# 0.00134555
# ---------------------------
# Total time at VFS level (s) : 
# -------------------------
# 4.19541
# --------------------------------------
# Detailed timing / energy per syscall: 
# ---------------------------------------
# type ; time ; e_mem ; e_cpu
vfs_write;1112.7;0;0
vfs_read;1.44531;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_read;1.44531;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_read;1.44531;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_read;1.44531;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_read;1.44531;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_read;1.44531;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_read;1.44531;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_read;1.44531;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_read;1.44531;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_read;1.44531;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1112.7;0;0
vfs_write;1524.2;7.03665e-05;0.000186409
vfs_write;1112.7;0;0
vfs_write;1935.7;0.000140733;0.000372819
vfs_write;1524.2;7.03665e-05;0.000186409
